id,title,coverImage,site,visual,music,story,character,description,releaseYear,genres,themes,demographics,status,duration,episodes,season,studios,source,rank,popularity,members
966,"Crayon Shin-chan",https://cdn.myanimelist.net/images/anime/10/59897l.jpg,7.81,7.63,7.53,8.79,7.57,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon.  Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with.  [Written by MAL Rewrite]",1992,"Comedy, Ecchi","School","Seinen","Currently Airing","21 min",0,"spring","Shin-Ei Animation","Manga",1071,2439,92304
57025,"Tondemo Skill de Isekai Hourou Meshi 2",https://cdn.myanimelist.net/images/anime/1206/151772l.jpg,7.76,7.67,8.66,8.10,8.65,"After being summoned to another world, ordinary salaryman Tsuyoshi Mukouda has made a name for himself with his fabulous cooking. During his journey throughout different lands, he has even befriended the mythical wolf Fel and a slime named Sui. While enjoying a meal one day, the trio is interrupted by a tiny but rare pixie dragon who also wants a bite of their food. Like Fel and Sui, the dragon immediately falls in love with Mukouda's cooking and decides to become the man's familiar, receiving the name Dora-chan.  However, cooking is not Mukouda's only forte. His familiars' incredible strength constantly attracts the attention of guilds who ask for their help on different quests. In exchange, the guilds are able to process the game Mukouda and his familiars hunt, enabling their growing party to sample various kinds of monster meat. Continuing to travel around the world with his familiars, Mukouda always comes up with new mouth-watering recipes that will leave everyone hoping for a second serving.  [Written by MAL Rewrite]",2025,"Adventure, Comedy, Fantasy, Gourmet","Isekai","","Currently Airing","23 min per ep",12,"fall","MAPPA","Light novel",1180,2572,85226
8687,"Doraemon (2005)",https://cdn.myanimelist.net/images/anime/6/23935l.jpg,7.73,7.21,8.66,7.30,7.25,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name.   It is the 2005 version of 1979 series, with certain changes in the animation and other things.  Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech.  (Source: Wikipedia)",2005,"Comedy, Sci-Fi","Anthropomorphic","Kids, Shounen","Currently Airing","25 min",0,"spring","Shin-Ei Animation","Manga",1273,5097,22585
51289,"Zhe Tian",https://cdn.myanimelist.net/images/anime/1162/135727l.jpg,7.72,8.22,7.04,7.74,6.74,"In the far reaches of the dark and frozen universe, nine enormous dragon corpses were tied with an ancient bronze coffin. It seems that they were set there since the birth of the universe. Such an astonishing scene was captured by a space probe floating in outer space.  Nine dragons and the mysterious bronze coffin made people wonder whether they came back to ancient times or just reached the other shore of the universe. A giant mythical world was unfolded, where immortality gradually appeared and paranormal events continuously occurred.  Countless people started to find their own tracks (The Dao) in such a mythical realm. Their passion was like a turbulent ocean wave that would never cease. The heat in their blood was like erupting volcanoes. Their desire for power and immortality dragged them down to the chasm without knowing it.  Thirty-three classmates held a reunion after graduating. Their friendship was tested, as the bronze coffin took them away from earth and arrived on another unknown planet. The desire for living forced them to follow the path of the ancient gods. Entering a new world of cultivation, will any of them reach immortality, or will they all die along the way?",2025,"Action, Adventure, Sci-Fi","","","Currently Airing","18 min per ep",156,"Unknown","Original Force","Web novel",1298,10488,3430
61159,"Toujima Tanzaburou wa Kamen Rider ni Naritai",https://cdn.myanimelist.net/images/anime/1455/152139l.jpg,7.68,7.72,7.97,8.03,8.38,"Tanzaburou Toujima has spent his entire life chasing a dream: to become Kamen Rider. Now, at 40, reality has nearly caught up with him, and he's on the verge of letting go of his childhood fantasy.  That is, until he gets caught up in a crime wave led by the ""Fake Shocker"" gang—turning his long-time dream into something far more dangerous.  What starts as a pretend hero's journey quickly becomes something real. The ultimate Kamen Rider fantasy is about to begin!  (Source: MAL News)",2025,"Action, Comedy","Adult Cast, Super Power","Seinen","Currently Airing","23 min",0,"fall","LIDENFILMS","Manga",1420,4192,35243
59662,"Long Zu II: Daowangzhe Zhi Tong",https://cdn.myanimelist.net/images/anime/1577/147273l.jpg,7.67,6.81,8.27,7.29,7.98,"Second season of Long Zu (Dragon Raja).",2025,"Adventure, Fantasy","","","Currently Airing","24 min per ep",24,"Unknown","GARDEN Culture","Novel",1445,6710,11272
61851,"Isekai Quartet 3",https://cdn.myanimelist.net/images/anime/1044/152103l.jpg,7.66,8.65,8.55,7.61,7.87,"Third season of Isekai Quartet.",2025,"Comedy, Fantasy","Isekai, Parody","","Currently Airing","12 min per ep",11,"fall","Studio PuYUKAI","Original",1451,4232,34683
36064,"Fate/Grand Order",https://cdn.myanimelist.net/images/anime/1554/110198l.jpg,7.62,8.10,7.75,7.96,8.43,"Assorted commercials and collaborations for the Fate/Grand Order mobile RPG. These short animations are posted to Type-Moon's official YouTube channel and advertise the game itself or promote a new game event (eg. Dead Heat Summer Race! for summer 2017). The animation is unique to these commercials and is not present in the mobile game nor in the TV special of Fate/Grand Order.",2025,"Action, Fantasy","","","Currently Airing","15 sec",0,"Unknown","ufotable, Shaft, A-1 Pictures, SILVER LINK., Lerche, Wit Studio, Lay-duce, CloverWorks, Drive, Ijigen Tokyo, Andraft, Rouseact","Game",0,4009,38726
59328,"Incha Couple ga You Gal-tachi to Sex Training Suru Hanashi",https://cdn.myanimelist.net/images/anime/1315/150094l.jpg,7.62,7.10,7.66,6.84,7.37,"Unstoppable gals get out of control! The sex life of an otaku student couple develops rapidly due to the influence of gal schoolgirls.  (Source: TMDB)",2025,"Hentai","","","Currently Airing","16 min",0,"Unknown","T-Rex","Manga",0,10174,3821
59846,"Saigo ni Hitotsu dake Onegai shitemo Yoroshii deshou ka",https://cdn.myanimelist.net/images/anime/1190/151754l.jpg,7.61,8.53,8.26,8.26,7.30,"Ever since childhood, Scarlet El Vandimion has preferred to deal with wrongdoers by using her fists. However, to preserve her family's image, she suppresses her instincts and tolerates the abuse inflicted by her childish fiancé, Second Prince Kyle Von Pallistan. Only Kyle's brother, First Prince Julius, is aware that there is more to Scarlet than meets the eye, but she cares little about his growing interest.  In the middle of a ball, Kyle accuses Scarlet of harassing Terenezza Hopkins, a commoner that has taken his heart. Scarlet's engagement to Kyle is nullified, leaving her outraged that all of her efforts to endure thus far have amounted to nothing. Scarlet dons her studded leather gloves, once again becoming the ""Mad Dog Princess."" Joined by Julius and werebeast Nanaka, Scarlet is ready to give filthy nobles a taste of their own medicine—one punch at a time.  [Written by MAL Rewrite]",2025,"Action, Comedy, Fantasy, Romance","Villainess","","Currently Airing","23 min per ep",13,"fall","LIDENFILMS","Light novel",1602,2226,106282
