id,title,coverImage,site,visual,music,story,character,description,releaseYear,genres,themes,demographics,status,duration,episodes,season,studios,source,rank,popularity,members
61517,"Kingdom 6th Season",https://cdn.myanimelist.net/images/anime/1282/151476l.jpg,9.02,8.85,9.09,9.23,9.34,"In ancient China, during the Warring States period, a former servant named Xin rises through the ranks with a dream: to become the greatest general under the heavens. Fighting alongside King Ying Zheng of Qin—who seeks to unify China and end the chaos—Xin leads his own unit, the Fei Xin Force, onto the battlefield.

With power reclaimed from the influential Chancellor Buwei Lü, King Ying Zheng begins laying the groundwork for a new, unified legal state with the support of key allies like strategist Changping Jun and legalist Li Si.

As Qin launches a campaign to seize new territory from the state of Zhao, their advance is halted by the brilliant strategist, Li Mu. In response, Changping Jun devises a bold plan: to bypass Zhao's defenses and strike at the key city of Gyou, near Zhao's capital.

To carry out this risky maneuver, a powerful coalition army is formed—led by the tacticians Ou Sen (Wang Jian), Kan Ki (Huan Yi), and the warrior queen Yo Tan Wa (Yang Duanhe). Joining them are the next generation of Qin commanders: Xin's Fei Xin Force, Mou Ten (Meng Tian)'s Gaku Ka Unit, and Ou Hon (Wang Ben)'s Gyoku Hou Unit, each operating independently.

The fierce battle for Gyou begins, as the future of Qin's unification hangs in the balance.

(Source: MAL News)",2025,"Action","Historical, Military","Seinen",Currently Airing,"24 min",0,fall,"Studio Pierrot, Studio Signpost",Manga,10,5045,23319
60098,"Boku no Hero Academia: Final Season",https://cdn.myanimelist.net/images/anime/1959/151055l.jpg,8.79,9.00,8.55,8.81,8.35,"Final season of Boku no Hero Academia.",2025,"Action","School, Super Power","Shounen",Currently Airing,"23 min",0,fall,"Bones Film",Manga,37,1437,186641
21,"One Piece",https://cdn.myanimelist.net/images/anime/1244/138851l.jpg,8.73,8.83,9.03,8.90,8.64,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it.

The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many.

As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure.

[Written by MAL Rewrite]",1999,"Action, Adventure, Fantasy","","Shounen",Currently Airing,"24 min",0,fall,"Toei Animation",Manga,51,17,2598756
61930,"Uma Musume: Cinderella Gray Part 2",https://cdn.myanimelist.net/images/anime/1120/152280l.jpg,8.48,8.68,8.39,8.10,8.41,"Ever since horse girl Oguri Cap left the small town of Kasamatsu to chase greater heights in Tokyo, she has rapidly gained attention with her remarkable results. Her goal to become the best horse girl in Japan seems within reach, but there is a rival in her way—another running prodigy named Tamamo Cross.

However, Tamamo is not the only threat to Oguri: several world-class racers from overseas are joining the Japan Cup, pushing the renowned race's competition to unprecedented levels. With the support from the people close to her and her intense desire to win, Oguri will do anything to conquer the Japan Cup and continue sprinting for the top.

[Written by MAL Rewrite]",2025,"Drama, Sports","Anthropomorphic, Racing","Seinen",Currently Airing,"23 min per ep",10,fall,"CygamesPictures",Manga,160,4429,31233
60988,"Tian Guan Cifu Short Film",https://cdn.myanimelist.net/images/anime/1174/149943l.jpg,8.45,8.13,8.63,8.55,8.70,"A short film celebrating the fourth anniversary of the donghua's releases, highlighting Hua Cheng's and Xie Lian's first encounter.",2025,"Action, Adventure, Drama, Fantasy","Historical, Mythology","",Currently Airing,"8 min",0,Unknown,"",Web novel,180,7164,9666
51039,"Doupo Cangqiong: Nian Fan",https://cdn.myanimelist.net/images/anime/1419/126374l.jpg,8.44,8.05,8.47,8.85,8.41,"Fifth season of Doupo Cangqiong.",2025,"Action, Adventure, Fantasy","Historical, Martial Arts","",Currently Airing,"24 min per ep",209,Unknown,"Motion Magic",Web novel,187,6669,11477
50250,"Chiikawa",https://cdn.myanimelist.net/images/anime/1783/121944l.jpg,8.44,8.74,8.41,8.40,8.87,"What's a Chiikawa? No one really knows, but everyone can see they're small, they're cute, and they're always having a fun time! Join them as they explore their surreal world with the sharp humor and clever antics that make the Chiikawa irresistible.

(Source: HIDIVE, edited)",2022,"Slice of Life","","",Currently Airing,"1 min",0,spring,"Doga Kobo",Web manga,186,6173,13775
55809,"Xian Ni",https://cdn.myanimelist.net/images/anime/1289/149708l.jpg,8.41,8.78,8.14,8.33,8.44,"Wang Lin is a very smart boy with loving parents. Although he and his parents are shunned by the rest of their relatives, his parents have always held high hopes that he will one day achieve greatness. One day, Wang Lin suddenly gained the chance to walk the path of an immortal but found that he only had mediocre talent at best. Watch Wang Lin as he breaks through his lack of talent and walks the path towards becoming a real immortal!

(Source: Xian Ni Wiki)",2025,"Action, Adventure, Fantasy","Historical, Martial Arts","",Currently Airing,"25 min per ep",128,Unknown,"BUILD DREAM",Web novel,209,7289,9201
56524,"Tunshi Xingkong 4th Season",https://cdn.myanimelist.net/images/anime/1212/138218l.jpg,8.38,8.37,8.47,8.31,8.35,"Fourth season of Tunshi Xingkong.",2025,"Action, Adventure, Fantasy, Sci-Fi","Martial Arts","",Currently Airing,"21 min per ep",123,Unknown,"Sparkly Key Animation Studio",Web novel,222,9078,5331
60557,"Fanren Xiu Xian Chuan: Waihai Fengyun",https://cdn.myanimelist.net/images/anime/1388/149196l.jpg,8.32,8.40,8.06,7.85,8.15,"Fourth season of Fanren Xiu Xian Chuan.",2025,"Action, Adventure, Fantasy","Historical, Martial Arts","",Currently Airing,"20 min per ep",52,Unknown,"Original Force, Wonder Cat Animation",Novel,277,12141,2156
